"","province","gender","age","edu","Number","Proportion"
"112","NB","Female","60 plus","Graduated high school",82,0.0634674922600619
"113","NB","Male","18 to 29","Didn't graduate college",17,0.0131578947368421
"114","NB","Male","18 to 29","Didn't graduate high school",3,0.00232198142414861
"115","NB","Male","18 to 29","Graduated college",10,0.00773993808049536
"116","NB","Male","18 to 29","Graduated high school",20,0.0154798761609907
"117","NB","Male","30 to 44","Didn't graduate college",58,0.0448916408668731
"118","NB","Male","30 to 44","Didn't graduate high school",9,0.00696594427244582
"119","NB","Male","30 to 44","Graduated college",35,0.0270897832817337
"120","NB","Male","30 to 44","Graduated high school",13,0.010061919504644
"121","NB","Male","45 to 59","Didn't graduate college",51,0.0394736842105263
"122","NB","Male","45 to 59","Didn't graduate high school",14,0.0108359133126935
"123","NB","Male","45 to 59","Graduated college",40,0.0309597523219814
"124","NB","Male","45 to 59","Graduated high school",47,0.0363777089783282
"125","NB","Male","60 plus","Didn't graduate college",64,0.0495356037151703
"126","NB","Male","60 plus","Didn't graduate high school",73,0.0565015479876161
"127","NB","Male","60 plus","Graduated college",47,0.0363777089783282
"128","NB","Male","60 plus","Graduated high school",62,0.0479876160990712
"129","NL","Female","18 to 29","Didn't graduate college",17,0.0161290322580645
"130","NL","Female","18 to 29","Didn't graduate high school",2,0.00189753320683112
"131","NL","Female","18 to 29","Graduated college",22,0.0208728652751423
"132","NL","Female","18 to 29","Graduated high school",21,0.0199240986717268
"133","NL","Female","30 to 44","Didn't graduate college",49,0.0464895635673624
"134","NL","Female","30 to 44","Didn't graduate high school",3,0.00284629981024668
"135","NL","Female","30 to 44","Graduated college",50,0.047438330170778
"136","NL","Female","30 to 44","Graduated high school",13,0.0123339658444023
"137","NL","Female","45 to 59","Didn't graduate college",88,0.0834914611005693
"138","NL","Female","45 to 59","Didn't graduate high school",25,0.023719165085389
"139","NL","Female","45 to 59","Graduated college",30,0.0284629981024668
"140","NL","Female","45 to 59","Graduated high school",33,0.0313092979127135
"141","NL","Female","60 plus","Didn't graduate college",63,0.0597722960151803
"142","NL","Female","60 plus","Didn't graduate high school",84,0.079696394686907
"143","NL","Female","60 plus","Graduated college",40,0.0379506641366224
"144","NL","Female","60 plus","Graduated high school",52,0.0493358633776091
"145","NL","Male","18 to 29","Didn't graduate college",16,0.015180265654649
"146","NL","Male","18 to 29","Didn't graduate high school",4,0.00379506641366224
"147","NL","Male","18 to 29","Graduated college",14,0.0132827324478178
"148","NL","Male","18 to 29","Graduated high school",16,0.015180265654649
"149","NL","Male","30 to 44","Didn't graduate college",52,0.0493358633776091
"150","NL","Male","30 to 44","Didn't graduate high school",5,0.0047438330170778
"151","NL","Male","30 to 44","Graduated college",30,0.0284629981024668
"152","NL","Male","30 to 44","Graduated high school",23,0.0218216318785579
"153","NL","Male","45 to 59","Didn't graduate college",47,0.0445920303605313
"154","NL","Male","45 to 59","Didn't graduate high school",32,0.0303605313092979
"155","NL","Male","45 to 59","Graduated college",22,0.0208728652751423
"156","NL","Male","45 to 59","Graduated high school",30,0.0284629981024668
"157","NL","Male","60 plus","Didn't graduate college",58,0.0550284629981025
"158","NL","Male","60 plus","Didn't graduate high school",55,0.0521821631878558
"159","NL","Male","60 plus","Graduated college",25,0.023719165085389
"160","NL","Male","60 plus","Graduated high school",33,0.0313092979127135
"161","NS","Female","18 to 29","Didn't graduate college",23,0.0165825522710887
"162","NS","Female","18 to 29","Didn't graduate high school",4,0.00288392213410238
"163","NS","Female","18 to 29","Graduated college",15,0.0108147080028839
"164","NS","Female","18 to 29","Graduated high school",22,0.0158615717375631
"165","NS","Female","30 to 44","Didn't graduate college",59,0.0425378514780101
"166","NS","Female","30 to 44","Didn't graduate high school",1,0.000720980533525595
"167","NS","Female","30 to 44","Graduated college",71,0.0511896178803172
"168","NS","Female","30 to 44","Graduated high school",29,0.0209084354722422
"169","NS","Female","45 to 59","Didn't graduate college",81,0.0583994232155732
"170","NS","Female","45 to 59","Didn't graduate high school",18,0.0129776496034607
"171","NS","Female","45 to 59","Graduated college",47,0.033886085075703
"172","NS","Female","45 to 59","Graduated high school",40,0.0288392213410238
"173","NS","Female","60 plus","Didn't graduate college",108,0.0778658976207642
"174","NS","Female","60 plus","Didn't graduate high school",79,0.056957462148522
"175","NS","Female","60 plus","Graduated college",66,0.0475847152126893
"176","NS","Female","60 plus","Graduated high school",77,0.0555155010814708
"177","NS","Male","18 to 29","Didn't graduate college",15,0.0108147080028839
